[502]
[450] 5
[432] 4
[440] 3
[406] 11
[70] 10
[454] 9
[404] 11 5
[64] 10 5
[386] 9 5
[435] 2 4
[436] 1 4
[439] 0 4
[336] 11 4
[0] 10 4
[384] 9 4
[344] 11 3
[56] 10 3
[392] 9 3
[438] 14 3
[444] 13 3
[442] 12 3
[402] 5 11
[336] 4 11
[344] 3 11
[358] 8 11
[310] 7 11
[118] 6 11
[142] 2 10
[166] 1 10
[46] 0 10
[66] 5 10
[0] 4 10
[56] 3 10
[18] 5 9
[144] 4 9
[488] 3 9
[356] 8 11 5
[308] 7 11 5
[116] 6 11 5
[136] 2 10 5
[160] 1 10 5
[40] 0 10 5
[62] 8 10 5
[60] 7 10 5
[52] 6 10 5
[389] 2 9 5
[390] 1 9 5
[385] 0 9 5
[2] 5 9 5
[146] 4 9 5
[482] 3 9 5
[403] 11 2 4
[69] 10 2 4
[401] 9 2 4
[448] 8 1 4
[446] 7 1 4
[340] 11 1 4
[52] 10 1 4
[388] 9 1 4
[343] 11 0 4
[55] 10 0 4
[391] 9 0 4
[445] 14 0 4
[443] 13 0 4
[441] 12 0 4
[339] 2 11 4
[340] 1 11 4
[343] 0 11 4
[288] 8 11 4
[240] 7 11 4
[48] 6 11 4
[75] 2 10 4
[100] 1 10 4
[31] 0 10 4
[387] 2 9 4
[388] 1 9 4
[391] 0 9 4
[8] 5 9 4
[214] 4 9 4
[498] 3 9 4
[296] 8 11 3
[248] 7 11 3
[104] 6 11 3
[342] 14 11 3
[348] 13 11 3
[346] 12 11 3
[128] 2 10 3
[152] 1 10 3
[32] 0 10 3
[54] 14 10 3
[60] 13 10 3
[58] 12 10 3
[22] 5 9 3
[210] 4 9 3
[480] 3 9 3
[390] 14 9 3
[396] 13 9 3
[394] 12 9 3
[433] 2 14 3
[434] 1 14 3
[437] 0 14 3
[342] 11 14 3
[54] 10 14 3
[390] 9 14 3
[448] 7 13 3
[446] 6 13 3
[348] 11 13 3
[60] 10 13 3
[396] 9 13 3
[346] 11 12 3
[58] 10 12 3
[394] 9 12 3
[354] 8 5 11
[306] 7 5 11
[114] 6 5 11
[68] 11 5 11
[400] 10 5 11
[434] 9 5 11
[339] 2 4 11
[340] 1 4 11
[343] 0 4 11
[288] 8 4 11
[240] 7 4 11
[48] 6 4 11
[296] 8 3 11
[248] 7 3 11
[104] 6 3 11
[342] 14 3 11
[348] 13 3 11
[346] 12 3 11
[354] 5 8 11
[288] 4 8 11
[296] 3 8 11
[306] 5 7 11
[240] 4 7 11
[248] 3 7 11
[262] 14 7 11
[214] 13 7 11
[190] 2 6 11
[22] 1 6 11
[94] 0 6 11
[114] 5 6 11
[48] 4 6 11
[104] 3 6 11
[138] 5 2 10
[72] 4 2 10
[128] 3 2 10
[430] 8 2 10
[382] 7 2 10
[334] 6 2 10
[162] 5 1 10
[96] 4 1 10
[152] 3 1 10
[262] 13 1 10
[214] 12 1 10
[234] 5 0 10
[504] 4 0 10
[416] 3 0 10
[138] 2 5 10
[162] 1 5 10
[42] 0 5 10
[452] 11 5 10
[448] 10 5 10
[338] 9 5 10
[75] 2 4 10
[100] 1 4 10
[31] 0 4 10
[128] 2 3 10
[152] 1 3 10
[32] 0 3 10
[54] 14 3 10
[60] 13 3 10
[58] 12 3 10
[90] 2 5 9
[114] 1 5 9
[186] 0 5 9
[20] 11 5 9
[16] 10 5 9
[2] 9 5 9
[147] 2 4 9
[148] 1 4 9
[151] 0 4 9
[96] 14 4 9
[240] 13 4 9
[192] 12 4 9
[486] 14 3 9
[492] 13 3 9
[490] 12 3 9
[352] 11 8 11 5
[290] 10 8 11 5
[304] 11 7 11 5
[242] 10 7 11 5
[260] 14 7 11 5
[212] 13 7 11 5
[164] 12 7 11 5
[188] 2 6 11 5
[92] 0 6 11 5
[112] 11 6 11 5
[50] 10 6 11 5
[374] 8 2 10 5
[324] 7 2 10 5
[268] 6 2 10 5
[74] 11 2 10 5
[140] 9 2 10 5
[158] 8 1 10 5
[156] 7 1 10 5
[98] 11 1 10 5
[164] 9 1 10 5
[304] 14 1 10 5
[256] 13 1 10 5
[208] 12 1 10 5
[232] 5 0 10 5
[520] 4 0 10 5
[424] 3 0 10 5
[38] 8 0 10 5
[36] 7 0 10 5
[28] 6 0 10 5
[26] 11 0 10 5
