[128]
[113] 5 2 3
[44] 5 1 3
[77] 5 0 3
[21] 12 2 14
[52] 12 1 14
[105] 12 0 14
[116] 14 3 12 5
[24] 2 5 2 3
[57] 1 5 2 3
[80] 0 5 2 3
[100] 1 5 1 3
[13] 0 5 1 3
[100] 2 5 0 3
[13] 1 5 0 3
[85] 1 12 2 14
[116] 0 12 2 14
[85] 2 12 1 14
[116] 1 12 1 14
[16] 2 12 0 14
[41] 1 12 0 14
[72] 0 12 0 14
[100] 3 14 5 12
[30] 5 9 5 11 4
[94] 5 11 1 9 3
[92] 12 6 1 8 14
[36] 12 8 12 6 13
[136] 12 2 13 3 12 5
[6] 12 1 13 3 12 5
[115] 4 11 2 9 0 4
[60] 5 2 9 5 11 4
[140] 5 1 9 5 11 4
[63] 2 5 9 5 11 4
[7] 0 5 9 5 11 4
[102] 4 2 11 0 9 4
[134] 12 2 14 5 2 3
[9] 12 1 14 5 2 3
[133] 14 3 12 4 2 3
[63] 5 11 2 9 2 3
[143] 5 11 1 9 2 3
[99] 12 2 14 5 1 3
[140] 12 1 14 5 1 3
[134] 4 9 3 11 1 3
[47] 5 11 2 9 1 3
[48] 5 11 1 9 1 3
[88] 5 1 11 1 9 3
[133] 5 0 11 1 9 3
[7] 2 5 11 1 9 3
[63] 0 5 11 1 9 3
[58] 12 6 1 8 1 14
[51] 12 6 0 8 1 14
[142] 13 8 14 6 1 14
[136] 5 1 3 12 1 14
[99] 5 0 3 12 1 14
[135] 12 6 1 8 0 14
[5] 12 6 0 8 0 14
[145] 3 14 5 13 0 14
[69] 5 1 3 12 0 14
[142] 5 0 3 12 0 14
[145] 12 2 6 1 8 14
[18] 12 1 6 1 8 14
[5] 2 12 6 1 8 14
[61] 0 12 6 1 8 14
[103] 13 6 0 8 2 13
[114] 13 0 6 2 8 13
[136] 12 1 8 12 6 13
[6] 12 0 8 12 6 13
[61] 2 12 8 12 6 13
[5] 0 12 8 12 6 13
[60] 5 1 4 14 5 12
[140] 5 0 4 14 5 12
[117] 3 1 4 2 4 2 5
[126] 3 1 9 5 11 1 5
[124] 3 1 9 4 11 1 5
[120] 3 1 9 3 11 1 5
[49] 5 2 3 14 3 12 5
[125] 5 0 3 14 3 12 5
[131] 2 12 2 13 3 12 5
[132] 1 12 2 13 3 12 5
[31] 2 12 1 13 3 12 5
[62] 1 12 1 13 3 12 5
[95] 0 12 1 13 3 12 5
[38] 6 2 4 0 8 2 4
[54] 4 2 3 2 5 1 4
[98] 4 2 4 2 4 1 4
[34] 4 1 14 5 12 1 4
[112] 4 1 14 4 12 1 4
[70] 4 1 14 3 12 1 4
[33] 4 1 3 0 5 0 4
[38] 4 1 4 0 4 0 4
[26] 2 4 11 2 9 0 4
[82] 0 4 11 2 9 0 4
[35] 5 11 2 10 5 11 4
[39] 5 11 0 10 5 11 4
[93] 2 5 2 9 5 11 4
[4] 1 5 2 9 5 11 4
[37] 0 5 2 9 5 11 4
[144] 1 5 1 9 5 11 4
[147] 0 5 1 9 5 11 4
[15] 2 4 2 11 0 9 4
[46] 1 4 2 11 0 9 4
[71] 0 4 2 11 0 9 4
[34] 4 10 6 9 8 9 4
[27] 5 2 3 2 5 2 3
[28] 5 1 3 2 5 2 3
[23] 5 0 3 2 5 2 3
[59] 12 2 14 2 5 2 3
[123] 12 0 14 2 5 2 3
[107] 12 2 14 1 5 2 3
[127] 12 1 14 1 5 2 3
[27] 12 0 14 1 5 2 3
[130] 5 2 3 0 5 2 3
[90] 5 1 3 0 5 2 3
[50] 5 0 3 0 5 2 3
[83] 12 2 14 0 5 2 3
[84] 12 1 14 0 5 2 3
[89] 12 0 14 0 5 2 3
[137] 2 12 2 14 5 2 3
[130] 1 12 2 14 5 2 3
[39] 2 12 1 14 5 2 3
[123] 3 14 5 12 5 2 3
[137] 1 14 3 12 4 2 3
[130] 0 14 3 12 4 2 3
[19] 5 9 5 11 3 2 3
[144] 5 2 11 2 9 2 3
[107] 5 1 11 2 9 2 3
[38] 5 0 11 2 9 2 3
[104] 5 2 11 1 9 2 3
[37] 5 1 11 1 9 2 3
[68] 5 0 11 1 9 2 3
[144] 2 5 11 1 9 2 3
[147] 1 5 11 1 9 2 3
[14] 5 2 11 0 9 2 3
[17] 5 1 11 0 9 2 3
[123] 12 2 14 1 5 1 3
[59] 12 0 14 1 5 1 3
[14] 5 2 3 0 5 1 3
[17] 5 1 3 0 5 1 3
[39] 1 12 2 14 5 1 3
[144] 1 12 1 14 5 1 3
[147] 0 12 1 14 5 1 3
[144] 5 9 5 11 3 1 3
[144] 8 0 5 2 6 1 3
[137] 2 4 9 3 11 1 3
[130] 1 4 9 3 11 1 3
[78] 5 2 11 2 9 1 3
[123] 5 1 11 2 9 1 3
[70] 2 5 11 2 9 1 3
[14] 0 5 11 2 9 1 3
[73] 5 2 11 1 9 1 3
[124] 5 1 11 1 9 1 3
[117] 5 0 11 1 9 1 3
[78] 2 5 11 1 9 1 3
[108] 1 5 11 1 9 1 3
[71] 5 2 11 0 9 1 3
[121] 5 1 11 0 9 1 3
[111] 5 0 11 0 9 1 3
[123] 12 2 14 2 5 0 3
[59] 12 0 14 2 5 0 3
[14] 5 2 3 1 5 0 3
[17] 5 1 3 1 5 0 3
[78] 8 0 5 2 6 0 3
[118] 2 5 1 11 1 9 3
[28] 1 5 1 11 1 9 3
[137] 1 5 0 11 1 9 3
[130] 0 5 0 11 1 9 3
[4] 4 9 3 10 1 9 3
[107] 5 11 8 0 6 9 3
[112] 6 10 4 11 4 11 8
[104] 8 14 2 13 0 14 6
[26] 8 12 3 14 5 14 6
[50] 8 12 3 12 5 14 6
[126] 8 13 2 14 0 13 6
[124] 8 13 2 13 0 13 6
[121] 8 13 2 12 0 13 6
[127] 9 4 0 5 2 4 11
[122] 9 4 0 4 2 4 11
[120] 9 4 0 3 2 4 11
[112] 9 3 0 4 2 3 11
[46] 9 5 14 5 12 3 11
[70] 9 5 14 3 12 3 11
[104] 11 7 13 6 13 6 9
[28] 9 2 12 0 11 2 14
[81] 12 1 14 1 12 2 14
[82] 12 0 14 1 12 2 14
[49] 5 2 3 0 12 2 14
[125] 5 0 3 0 12 2 14
[107] 12 2 6 2 8 1 14
[127] 12 1 6 2 8 1 14
[27] 12 0 6 2 8 1 14
[101] 12 2 6 1 8 1 14
[122] 12 1 6 1 8 1 14
[25] 12 0 6 1 8 1 14
[118] 1 12 6 1 8 1 14
[28] 0 12 6 1 8 1 14
[125] 12 1 6 0 8 1 14
[28] 12 0 6 0 8 1 14
[82] 2 12 6 0 8 1 14
[26] 0 12 6 0 8 1 14
[146] 1 13 8 14 6 1 14
[141] 0 13 8 14 6 1 14
[132] 9 2 12 0 11 1 14
[132] 12 8 12 6 14 1 14
[81] 12 1 14 2 12 1 14
[82] 12 0 14 2 12 1 14
[49] 5 2 3 1 12 1 14
[125] 5 0 3 1 12 1 14
[131] 2 5 1 3 12 1 14
[132] 1 5 1 3 12 1 14
[39] 1 5 0 3 12 1 14
[81] 12 1 6 2 8 0 14
[82] 12 0 6 2 8 0 14
[8] 12 2 6 1 8 0 14
[31] 12 1 6 1 8 0 14
[112] 12 0 6 1 8 0 14
[131] 1 12 6 1 8 0 14
[132] 0 12 6 1 8 0 14
[38] 12 2 6 0 8 0 14
[111] 12 1 6 0 8 0 14
[132] 12 0 6 0 8 0 14
[89] 12 8 12 6 14 0 14
[146] 2 3 14 5 13 0 14
[141] 1 3 14 5 13 0 14
[19] 5 2 3 2 12 0 14
[12] 5 1 3 2 12 0 14
[15] 5 0 3 2 12 0 14
[46] 12 2 14 2 12 0 14
[96] 12 1 14 2 12 0 14
[146] 12 0 14 2 12 0 14
[71] 5 2 3 1 12 0 14
[121] 5 1 3 1 12 0 14
[111] 5 0 3 1 12 0 14
[125] 5 2 3 0 12 0 14
[49] 5 0 3 0 12 0 14
[75] 12 2 14 0 12 0 14
[78] 12 1 14 0 12 0 14
[71] 12 0 14 0 12 0 14
[125] 14 3 12 5 12 0 14
[39] 0 5 1 3 12 0 14
[146] 1 5 0 3 12 0 14
[141] 0 5 0 3 12 0 14
[62] 13 8 14 7 1 8 14
[146] 2 12 2 6 1 8 14
[141] 1 12 2 6 1 8 14
[78] 1 12 1 6 1 8 14
[108] 0 12 1 6 1 8 14
[111] 12 6 9 2 11 8 14
[14] 2 13 6 0 8 2 13
[70] 0 13 6 0 8 2 13
[38] 13 1 13 2 13 2 13
[35] 13 1 14 2 12 2 13
[26] 13 1 3 14 5 1 13
[104] 13 1 3 13 5 1 13
[32] 13 1 3 12 5 1 13
[98] 13 0 13 0 13 1 13
[42] 13 0 14 0 12 1 13
[38] 11 0 13 2 9 0 13
[27] 2 13 0 6 2 8 13
[50] 1 13 0 6 2 8 13
[83] 0 13 0 6 2 8 13
[32] 13 7 11 8 9 8 13
[131] 2 12 1 8 12 6 13
[132] 1 12 1 8 12 6 13
[31] 2 12 0 8 12 6 13
[62] 1 12 0 8 12 6 13
[95] 0 12 0 8 12 6 13
[39] 12 6 2 7 12 6 13
[33] 12 6 0 7 12 6 13
[126] 14 1 8 14 6 1 12
[122] 14 1 8 13 6 1 12
[120] 14 1 8 12 6 1 12
[101] 14 1 13 0 13 0 12
[93] 2 5 1 4 14 5 12
[4] 1 5 1 4 14 5 12
[37] 0 5 1 4 14 5 12
[144] 1 5 0 4 14 5 12
[147] 0 5 0 4 14 5 12
[123] 12 2 14 3 14 5 12
[59] 12 0 14 3 14 5 12
[20] 2 3 1 4 2 4 2 5
[53] 1 3 1 4 2 4 2 5
[56] 13 7 12 3 14 7 13 5
[79] 2 5 2 3 14 3 12 5
[109] 1 5 2 3 14 3 12 5
[64] 12 8 12 6 12 3 12 5
[87] 2 4 2 3 2 5 1 4
[110] 1 4 2 3 2 5 1 4
[67] 2 4 1 14 5 12 1 4
[3] 0 4 1 14 5 12 1 4
[56] 1 4 1 14 4 12 1 4
[64] 2 4 1 3 0 5 0 4
[97] 1 4 1 3 0 5 0 4
[0] 0 4 1 3 0 5 0 4
[79] 5 1 5 11 2 9 0 4
[66] 5 2 11 2 10 5 11 4
[149] 5 1 11 2 10 5 11 4
[66] 2 5 11 2 10 5 11 4
[91] 1 5 11 2 10 5 11 4
[2] 0 5 11 2 10 5 11 4
[106] 5 0 11 0 10 5 11 4
[110] 5 9 0 3 2 4 11 4
[56] 11 1 9 1 9 4 11 4
[110] 12 5 9 3 14 4 11 4
[56] 14 4 9 4 12 4 11 4
[110] 14 5 9 3 12 4 11 4
[40] 8 5 1 6 10 5 10 4
[40] 5 8 1 6 10 5 10 4
[66] 5 1 5 2 11 0 9 4
[149] 5 0 5 2 11 0 9 4
[67] 2 4 10 6 9 8 9 4
[3] 0 4 10 6 9 8 9 4
[56] 14 4 12 1 12 1 14 4
[64] 14 3 12 5 2 5 2 3
[87] 1 5 0 3 2 5 2 3
[110] 0 5 0 3 2 5 2 3
[119] 1 12 2 14 2 5 2 3
[29] 0 12 2 14 2 5 2 3
[74] 3 14 5 12 2 5 2 3
[10] 2 12 2 14 1 5 2 3
[43] 1 12 2 14 1 5 2 3
[74] 0 12 2 14 1 5 2 3
